"","document","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"16359",16359,"Can I get a work from snow day?  UMBRELLAWITHRAINDROPS  #driversbecrazy #landslides #flashfloods<e2><80><a6> https://t.co/UHCEYswEQX",FALSE,0,NA,"2/9/17 17:26",FALSE,NA,8.3e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","CoColgan",0,FALSE,FALSE,-122.42,37.76
"232",232,"This is David Boyd an #anthropologist &amp; my Mom's #partner #sanfrancisco #pointandshoot #contax @<e2><80><a6> https://t.co/QDC7nRGjEn",FALSE,0,NA,"8/4/16 19:42",FALSE,NA,7.61e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","vasiligavre",0,FALSE,FALSE,-122.42,37.76
"15761",15761,"A heart felt message to the BLACK MAN on the first day of BLACK HISTORY MONTH. #knowyourworth<e2><80><a6> https://t.co/IK8P6UAgDS",FALSE,0,NA,"2/2/17 0:06",FALSE,NA,8.27e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","comicstevebrown",0,FALSE,FALSE,-122.41498,37.7520499
"12791",12791,"Coming right along. #dx100000 @ Mission District, San Francisco https://t.co/dWwYJOg5eQ",FALSE,0,NA,"12/23/16 6:33",FALSE,NA,8.12e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","deeXiepoo",0,FALSE,FALSE,-122.42,37.76
"8225",8225,"Bob finally got a burger @ WesBurger 'N' More https://t.co/i44Y9PkJ2K",FALSE,1,NA,"10/31/16 21:14",FALSE,NA,7.93e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","j2h",0,FALSE,FALSE,-122.41949,37.76112
"1713",1713,"Flying Tuba Girl #flying #photooftheday #picoftheday #dolorespark #sanfrancisco #sax #trumpet<e2><80><a6> https://t.co/PKuEZcEQIE",FALSE,1,NA,"8/21/16 22:46",FALSE,NA,7.67e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SavageDCK",0,FALSE,FALSE,-122.42583,37.75985
"16424",16424," GOLFER  GOLFER <e2><9b><b3> Pink Putter Challenge... <e2><9c><94><e2><9c><94> @urbanputt #Workflow #PinkPutter #ChallengeAccepted<e2><80><a6> https://t.co/wqZmHkPj9A",FALSE,0,NA,"2/10/17 7:24",FALSE,NA,8.3e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","aurorabaron",0,FALSE,FALSE,-122.41687,37.7557
"18424",18424,"Sunday sun day!  BLACKSUNWITHRAYS Reminiscing about days in the park with my best friends!
.
.
.
#sunnyday<e2><80><a6> https://t.co/pAAryDmPeI",FALSE,0,NA,"3/6/17 0:19",FALSE,NA,8.39e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kyliro12",0,FALSE,FALSE,-122.4275,37.75833333
"11225",11225,"Music from another era.  TRUMPET  SAXOPHONE  Amnesia #SF @ Amnesia https://t.co/HgiFcofCMn",FALSE,1,NA,"12/4/16 5:14",FALSE,NA,8.05e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","catsynth",0,FALSE,FALSE,-122.421284,37.7593317
"16263",16263,"Just posted a photo @ Mission District, San Francisco https://t.co/nCldFAiK9W",FALSE,1,NA,"2/8/17 4:21",FALSE,NA,8.29e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BluTarp",1,FALSE,FALSE,-122.42,37.76
"7506",7506,"coddle weather @ Tartine Manufactory https://t.co/mS8Y2MPz5f",FALSE,0,NA,"10/25/16 5:34",FALSE,NA,7.91e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","SiennaMintz",0,FALSE,FALSE,-122.4118648,37.7618469
"16657",16657,"SF- After a full day of car issues, we are on our way to TORMENTA. Break down, flakey evil<e2><80><a6> https://t.co/SU6wC7UYPH",FALSE,0,NA,"2/12/17 3:59",FALSE,NA,8.31e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AlexLemire",0,FALSE,FALSE,-122.4214993,37.7627267
"6919",6919,"Vegan sushi! #savetheocean #savefishes #vegan #govegan #whatveganseat #veganfoodshare<e2><80><a6> https://t.co/l3crf82wTt",FALSE,4,NA,"10/19/16 2:27",FALSE,NA,7.89e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","NaughtyVegan",0,FALSE,FALSE,-122.4215345,37.76820318
"7243",7243,"Bad kitty, no bite... @ Clarion Alley https://t.co/2HX9hnTYB8",FALSE,0,NA,"10/22/16 21:49",FALSE,NA,7.9e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","4AMSOUNDS",0,FALSE,FALSE,-122.4208951,37.76299557
"1056",1056,"Sunday in Dolores @ 24th St Mission BART Station https://t.co/dlrVkc59dG",FALSE,0,NA,"8/15/16 6:32",FALSE,NA,7.65e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mattrosendin",0,FALSE,FALSE,-122.41847,37.752242
"10347",10347,"Nothing is absolute. Everything changes, everything moves, everything revolves, everything flies<e2><80><a6> https://t.co/qs7vzL8XrP",FALSE,0,NA,"11/22/16 19:06",FALSE,NA,8.01e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lola32",0,FALSE,FALSE,-122.42,37.76
"18794",18794,"yummy brunch at #universalcafe @ Universal Cafe https://t.co/wCZMuKlHsI",FALSE,0,NA,"3/12/17 20:31",FALSE,NA,8.41e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","reeseaaron",0,FALSE,FALSE,-122.4105489,37.76053579
"5977",5977,"Sunday morning reading @ Mission Dolores neighborhood https://t.co/ZPZ8r20wbU",FALSE,0,NA,"10/9/16 17:55",FALSE,NA,7.85e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","AlexAguilera209",0,FALSE,FALSE,-122.4268023,37.76457976
"1987",1987,"This drain dumps toxins into our streets. @ FoodCo https://t.co/tQ4EB3habB",FALSE,0,NA,"8/24/16 22:15",FALSE,NA,7.69e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","platypusrex256",0,FALSE,FALSE,-122.4161599,37.76795569
"3416",3416,"Just preparing for another Friday night #whitegloves @ Guerrero Gurrrlz https://t.co/NXTONbOxQm",FALSE,0,NA,"9/10/16 11:33",FALSE,NA,7.75e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","littlebeancurd",0,FALSE,FALSE,-122.4246419,37.76473985
"9473",9473,"Real talk.... FISTEDHANDSIGN  COLONE  FISTEDHANDSIGN  COLONE  FISTEDHANDSIGN  COLONE  @ Mission District, San Francisco https://t.co/F85JrhqQzC",FALSE,0,NA,"11/13/16 2:53",FALSE,NA,7.98e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheStylistLA",0,FALSE,FALSE,-122.42,37.76
"7018",7018,"BR<c3><9c>CIUS #TATTOO #SanFrancisco #bayarea #brucius #natural #science #engraving #etching<e2><80><a6> https://t.co/uSmR62EhMp",FALSE,1,NA,"10/20/16 8:46",FALSE,NA,7.89e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BruciusTattoo",0,FALSE,FALSE,-122.423889,37.765148
"10642",10642,"In the Mission on a mission, SF , with Sylvie Simmons after the rain. #sanfrancisco #mission<e2><80><a6> https://t.co/bDE4YANuru",FALSE,7,NA,"11/26/16 21:39",FALSE,NA,8.03e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LouiseGoffin",1,FALSE,FALSE,-122.41267,37.75271
"3572",3572,"Just posted a photo @ Foodsco https://t.co/zLwcnwrqUa",FALSE,0,NA,"9/12/16 8:15",FALSE,NA,7.75e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lelandwong",0,FALSE,FALSE,-122.4160917,37.76796489
"9148",9148,"Trump Pinatas for sale @ Mission District, San Francisco https://t.co/llTIiLyctD",FALSE,0,NA,"11/10/16 2:58",FALSE,NA,7.97e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","joshwolf",0,FALSE,FALSE,-122.42,37.76
"18723",18723,"Catch-up with always_crafty! @ Mission Dolores Park https://t.co/9MvY8TAXYG",FALSE,0,NA,"3/12/17 1:11",FALSE,NA,8.41e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Le_Fashionisto",0,FALSE,FALSE,-122.4275,37.75833333
"1608",1608,"@minicooperbear having a drink without me  LOUDLYCRYINGFACE  FACEWITHROLLINGEYES  @ Mission District, San Francisco https://t.co/CnGCaJ18cy",FALSE,0,NA,"8/21/16 0:37",FALSE,NA,7.67e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","elizabethgwu",0,FALSE,FALSE,-122.42,37.76
"16083",16083,"Saturday's are for the girls  SMILINGFACEWITHSUNGLASSES  #wheresmichele #GNO @ Mission<e2><80><a6> https://t.co/A08pwGt9CC",FALSE,0,NA,"2/5/17 21:19",FALSE,NA,8.28e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RealZenaDave",0,FALSE,FALSE,-122.42,37.76
"12168",12168,"Little boxes on the hillside.  Little boxes made of ticky tacky.  But they're not all the same.<e2><80><a6> https://t.co/Ih8bJTot2v",FALSE,0,NA,"12/15/16 0:04",FALSE,NA,8.09e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","loridel",0,FALSE,FALSE,-122.42,37.76
"18030",18030,"evening essentials @shoutclubparty  WINKINGFACE  WOMANWITHBUNNYEARS  CLINKINGGLASSES  KISSMARK  #makeup #haul #trial #cosmetics #mac #hookup #ready<e2><80><a6> https://t.co/dPB5XxiHvn",FALSE,0,NA,"3/2/17 1:18",FALSE,NA,8.37e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","tloh",0,FALSE,FALSE,-122.42,37.76
"363",363,"""The Faithful"" From the ""Untethered"" project collaboration with Monica Lundy. @ Pacific Felt<e2><80><a6> https://t.co/nQHT935HnL",FALSE,0,NA,"8/6/16 2:14",FALSE,NA,7.62e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","EwingLedette",0,FALSE,FALSE,-122.40946,37.75931
"15621",15621,"The Full Monty Charcuterie housemade goodies #darntasty #themorris_sf #doubledate  @wasabiaddict<e2><80><a6> https://t.co/CsE8Ed1nNG",FALSE,0,NA,"1/31/17 6:20",FALSE,NA,8.26e+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","poptart822",0,FALSE,FALSE,-122.408468,37.7629747
