"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"35","#plants #women #bubbles #grow #green #flowers #floral #growth #womengrow @ Mission District, San<e2><80><a6> https://t.co/lm06hFfTjp",FALSE,0,NA,2017-05-09 05:15:52,FALSE,NA,"861811937306447872",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mystarpower",1,FALSE,FALSE,"-122.42","37.76"
"39","#pescado #frito #fish #food #lunch #mission #rice #beans #pescadofrito @ Panchitas Pupuseria https://t.co/i5GhC4fwkc",FALSE,0,NA,2017-05-09 04:25:25,FALSE,NA,"861799243073429505",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","loosecharm",0,FALSE,FALSE,"-122.4216","37.76471"
"43","The most magical house in all the #Mission  SPARKLES  UNICORNFACE  RAINBOW  HOUSEWITHGARDEN  TWOHEARTS  #sanfrancisco #california #bayarea #victorian<e2><80><a6> https://t.co/tXZzVMUqji",FALSE,0,NA,2017-05-09 04:08:12,FALSE,NA,"861794909275213826",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Cheyday514",0,FALSE,FALSE,"-122.42","37.76"
"45","My little girl makes me and missmichellenicole88 so happy #littledog #multipoo #babygirl #doggo<e2><80><a6> https://t.co/fub3QtNaAT",FALSE,0,NA,2017-05-09 03:58:35,FALSE,NA,"861792491162435584",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MStylE343",0,FALSE,FALSE,"-122.42","37.76"
"49","Tastes like chicken. But it's not. #gardein #airfriedveganchicken #veganchicken #airfryer<e2><80><a6> https://t.co/Gl8chCQiEZ",FALSE,0,NA,2017-05-09 03:33:13,FALSE,NA,"861786103937978369",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","susiefoo",0,FALSE,FALSE,"-122.42396614","37.75507852"
"50","#sunsetporn #sanfrancisco #missionsf #potrerohill #sutrotower @ Mission District, San Francisco https://t.co/JZx8Ku23Oc",FALSE,0,NA,2017-05-09 03:31:49,FALSE,NA,"861785752602017792",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","xanthie",0,FALSE,FALSE,"-122.42","37.76"
"51","YUMMMMM! I made Mark Bittman's Green Rice Pilaf featured in the NYT (veganized, obvi), then<e2><80><a6> https://t.co/c3xCrOqzSS",FALSE,0,NA,2017-05-09 03:31:14,FALSE,NA,"861785605306560513",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","susiefoo",0,FALSE,FALSE,"-122.42396614","37.75507852"
"52","I <e2><99><a1>  DOGFACE  @ Oh Happy Day https://t.co/NYMHKeKQ3o",FALSE,0,NA,2017-05-09 03:22:05,FALSE,NA,"861783303728365569",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Disnerd3478",0,FALSE,FALSE,"-122.41928101","37.76235219"
"54","I was about to post tonight's yummy dinner when I realized I hadn't posted Friday night's<e2><80><a6> https://t.co/u865TpLYQy",FALSE,0,NA,2017-05-09 03:13:38,FALSE,NA,"861781177388216320",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","susiefoo",0,FALSE,FALSE,"-122.42396614","37.75507852"
"55","#water #life #growth #grow #river #green #weed #artist #mural #streetstyle @ Mission District,<e2><80><a6> https://t.co/ukvLz8Flms",FALSE,1,NA,2017-05-09 02:59:30,FALSE,NA,"861777620513558529",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","mystarpower",1,FALSE,FALSE,"-122.42","37.76"
"56","How many of you have ever visited our shop in #SanFrancisco? (@fabricoutletsf) @ Fabric Outlet https://t.co/4BZGufVY6M",FALSE,1,NA,2017-05-09 02:52:38,FALSE,NA,"861775890644160512",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","califabrics",0,FALSE,FALSE,"-122.41949788","37.7632669"
"58","Check out p1nkhairedlady's gorgeous project of the month!  She used one of our amazing new<e2><80><a6> https://t.co/WvXJpSaIqP",FALSE,0,NA,2017-05-09 02:44:18,FALSE,NA,"861773796176519168",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","fabricoutletsf",0,FALSE,FALSE,"-122.41949788","37.7632669"
"59","is it really as simple as that?  yes!  GROWINGHEART #mondaymeditation @ Mission District, San Francisco https://t.co/n39vS6YlyG",FALSE,0,NA,2017-05-09 02:38:37,FALSE,NA,"861772364161437700",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","miramirasf",0,FALSE,FALSE,"-122.42","37.76"
"64","Back middle to the front don't front. Digby &amp; Iona's salt &amp; pepper Double Halo shutting Monday<e2><80><a6> https://t.co/5UhTbdSSk4",FALSE,0,NA,2017-05-09 01:53:15,FALSE,NA,"861760949631504385",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","fiatluxsf",0,FALSE,FALSE,"-122.42331505","37.76482883"
"65","Back middle to the front don't front, Digby &amp; Iona's Double Halo shutting Monday down. Available<e2><80><a6> https://t.co/QRl5diAEKh",FALSE,0,NA,2017-05-09 01:50:19,FALSE,NA,"861760210146385925",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","fiatluxsf",0,FALSE,FALSE,"-122.42331505","37.76482883"
"69","Pablo Mamani...tastes like tropical friut,  candied plum, vanilla bean...<ec><a0><81><eb><8b><b9><ed><95><9c> <ec><82><b0><eb><af><b8><ec><99><80> <eb><8b><a8><eb><a7><9b><ec><9d><b4> <ec><a2><8b><eb><8b><a4>. <ea><b0><9c><ec><9d><b8><ec><a0><81><ec><9c><bc><eb><a1><9c><e2><80><a6> https://t.co/Eb2hT945Gy",FALSE,0,NA,2017-05-09 01:13:12,FALSE,NA,"861750871083933696",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamadoer",0,FALSE,FALSE,"-122.42121334","37.75644168"
"73","HAPPY BIRTHDAY TO MY bug loving, Bay Area mobbin', too-cool-for-school, homie 4 lyfe little<e2><80><a6> https://t.co/srzf4ObR6Z",FALSE,0,NA,2017-05-09 00:47:14,FALSE,NA,"861744333371953152",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Cheyday514",0,FALSE,FALSE,"-122.4275","37.75833333"
"76","A quick #video tour of our new #apartment! We are now officially residents of San Francisco's<e2><80><a6> https://t.co/oG3dDTRJge",FALSE,0,NA,2017-05-09 00:16:52,FALSE,NA,"861736694814433280",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Foxtongue",0,FALSE,FALSE,"-122.42","37.76"
