"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"787","It's not easy being green but it's easier when your smoothie and shorts are too<e2><80><a6> https://t.co/xHLzKUcgYr",FALSE,0,NA,2017-05-04 20:56:47,FALSE,NA,"860236790501826561",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Slfdeclrdfoodie",0,FALSE,FALSE,"-122.42","37.76"
"788","""Apple Pay is gre<e2><80><94>"" *PAYMENT NOT COMPLETED* x 3.

...

""PayPal is great!""",FALSE,0,NA,2017-05-04 20:41:49,FALSE,NA,"860233021193977856",NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","LucasTizma",0,FALSE,FALSE,NA,NA
"789","I'm at 24th St &amp; Mission St in San Francisco, CA https://t.co/BCX9xEfSj9",FALSE,0,NA,2017-05-04 20:39:13,FALSE,NA,"860232369852362752",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","mistyb415",0,FALSE,FALSE,"-122.41849649","37.75222332"
"790","Hola  TACO  https://t.co/kzvYagMtZX",FALSE,4,NA,2017-05-04 20:36:54,FALSE,NA,"860231785598275584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Owens",0,FALSE,FALSE,NA,NA
"791","I wish Xcode didn't try to indent lines surrounded by #if statements. They're compiler directives...",FALSE,1,NA,2017-05-04 20:26:11,FALSE,NA,"860229087796674560",NA,"<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","LucasTizma",0,FALSE,FALSE,NA,NA
"792","Hello  SPARKLINGHEART  #murals #muralart #flamingo #millennialpink #tktravels @ Media Noche https://t.co/phpWOddmvS",FALSE,1,NA,2017-05-04 20:22:39,FALSE,NA,"860228199988572161",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TTableKitchen",0,FALSE,FALSE,"-122.42086887","37.76016387"
"793","When wearing a blazer and on #Valencia, use the Valencia filter. @ CCSF Mission Campus 473 https://t.co/tBk0ymY5cO",FALSE,0,NA,2017-05-04 20:20:01,FALSE,NA,"860227535015206912",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","CriticallyKevin",0,FALSE,FALSE,"-122.42073","37.75481"
"794","Catching unicorns with jetmar1 #graffiti #urbanart #streetart @ Mission Community Market https://t.co/TbGIIUZIFl",FALSE,0,NA,2017-05-04 20:13:22,FALSE,NA,"860225860837748736",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lanaland",0,FALSE,FALSE,"-122.41980995","37.75561278"
"795","Please allow me to introduce myself, I'm #Lamar of wealth and taste... #muttvillesf<e2><80><a6> https://t.co/li6qyvXEgt",FALSE,0,NA,2017-05-04 20:13:21,FALSE,NA,"860225856949637120",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","hermesalchemist",0,FALSE,FALSE,"-122.41197","37.76582"
"796","https://t.co/69ADXSF2D2",FALSE,4,NA,2017-05-04 20:10:42,FALSE,NA,"860225193243004929",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","numberless",0,FALSE,FALSE,NA,NA
"797","Spring sale! My pastel calfskin pieces are 50% off! Link in bio, head to Clearance section @<e2><80><a6> https://t.co/tej4U3Ca2Y",FALSE,0,NA,2017-05-04 20:03:41,FALSE,NA,"860223427684294659",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","basilracuk",0,FALSE,FALSE,"-122.42062","37.76196"
"798","Seriously, read this. https://t.co/pXlQ7q2NeM",FALSE,0,NA,2017-05-04 19:39:25,FALSE,NA,"860217317682053120",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","carnivillain",0,FALSE,FALSE,"-122.41910628","37.76303187"
"799","The world is small but those shoes are world renowned!

Shasta always puts me right where I need to be when I leave

https://t.co/1dOkiMW7S1",FALSE,5,NA,2017-05-04 19:31:12,FALSE,NA,"860215250867503104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","guruvan",3,FALSE,FALSE,NA,NA
"800","Fuck.",FALSE,1,NA,2017-05-04 19:06:14,FALSE,NA,"860208966353043456",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","numberless",0,FALSE,FALSE,NA,NA
"801","Update: today the cute barista called me ""friend."" I think he's probably just forgotten my name,<e2><80><a6> https://t.co/amcSTqlPEL",FALSE,1,NA,2017-05-04 18:54:15,FALSE,NA,"860205950833184768",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","xoxojessej",0,FALSE,FALSE,"-122.42","37.76"
"802","#SnoopDog #beaglesofinstagram #muttvillesf #AdoptVintageLove #goodchicken @ Muttville Senior Dog<e2><80><a6> https://t.co/HexMjQXleS",FALSE,0,NA,2017-05-04 18:49:47,FALSE,NA,"860204828722638848",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","hermesalchemist",0,FALSE,FALSE,"-122.41197","37.76582"
"803","Magical #Gandalf. #yorkshireterriersofinstagram #muttvillesf #AdoptVintageLove @ Muttville<e2><80><a6> https://t.co/Ctdub230tZ",FALSE,0,NA,2017-05-04 18:48:33,FALSE,NA,"860204517052346368",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","hermesalchemist",0,FALSE,FALSE,"-122.41197","37.76582"
"804","Totally disgusting no matter where you stand on the issue of repeal and replace. Millions of lives count on this be<e2><80><a6> https://t.co/2LpsFtD14y",FALSE,0,NA,2017-05-04 18:32:13,TRUE,NA,"860200406986629120",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","Jonathan_Levin",0,FALSE,FALSE,NA,NA
"805","Picking up Wendy (@ 16th St. Mission BART Station in San Francisco, CA) https://t.co/DlfC4zDmPe",FALSE,0,NA,2017-05-04 18:21:33,FALSE,NA,"860197723127123968",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","wittyscreename",0,FALSE,FALSE,"-122.41977959","37.76491705"
"806","#SFPD @OfficialCCSF #CityCollegeSanFrancisco #WeNeedMore #CityCollegeOfSanFrancisco #BeApartOfTheSolution https://t.co/XhgBEBVtbS",FALSE,4,NA,2017-05-04 18:20:28,FALSE,NA,"860197451826741248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OfficerLevy1333",4,FALSE,FALSE,NA,NA
